id,name,state_id,state_code,country_id,country_code,latitude,longitude
23956,Battenberg,3018,HE,82,DE,51.01391,8.64603
23957,Baudenbach,3009,BY,82,DE,49.62512,10.53598
23958,Baumholder,3019,RP,82,DE,49.61738,7.33381
23959,Baumschulenweg,3010,BE,82,DE,52.46583,13.48523
23960,Baunach,3009,BY,82,DE,49.98592,10.85179
23961,Baunatal,3018,HE,82,DE,51.25182,9.40747
23962,Bausendorf,3019,RP,82,DE,50.01667,7
23963,Bautzen,3021,SN,82,DE,51.18035,14.43494
23964,Bawinkel,3008,NI,82,DE,52.6,7.4
23965,Bayenthal,3017,NW,82,DE,50.91218,6.96799
23966,Bayerbach,3009,BY,82,DE,48.7045,12.2975
23967,Bayerisch Eisenstein,3009,BY,82,DE,49.11667,13.2
23968,Bayerisch Gmain,3009,BY,82,DE,47.71667,12.9
23969,Bayreuth,3009,BY,82,DE,49.94782,11.57893
23970,Bayrischzell,3009,BY,82,DE,47.6744,12.01449
23971,Bebra,3018,HE,82,DE,50.97445,9.79562
23972,Bechhofen,3019,RP,82,DE,49.35,7.4
23973,Bechtheim,3019,RP,82,DE,49.72778,8.29222
23974,Bechtolsheim,3019,RP,82,DE,49.80417,8.19389
23975,Bechtsrieth,3009,BY,82,DE,49.64487,12.20997
23976,Beckdorf,3008,NI,82,DE,53.41667,9.61667
23977,Beckedorf,3008,NI,82,DE,52.35,9.31667
23978,Beckingen,3020,SL,82,DE,49.4,6.7
23979,Beckum,3017,NW,82,DE,51.75571,8.04075
23980,Bedburg,3017,NW,82,DE,50.99258,6.57128
23981,Beedenbostel,3008,NI,82,DE,52.64288,10.25907
23982,Beelen,3017,NW,82,DE,51.92906,8.11117
23983,Beelitz,3013,BB,82,DE,52.23812,12.9714
23984,Beerfelden,3018,HE,82,DE,49.56858,8.97444
23985,Beesenlaublingen,3011,ST,82,DE,51.71274,11.69729
23986,Beesenstedt,3011,ST,82,DE,51.56828,11.73323
23987,Beeskow,3013,BB,82,DE,52.17291,14.24597
23988,Beesten,3008,NI,82,DE,52.43333,7.5
23989,Beetzendorf,3011,ST,82,DE,52.70226,11.0889
23990,Behringen,3015,TH,82,DE,50.77283,11.01403
23991,Bei der Höhne,3008,NI,82,DE,53.51351,9.11191
23992,Beierfeld,3021,SN,82,DE,50.56529,12.79049
23993,Beiersdorf,3021,SN,82,DE,51.07405,14.53828
23994,Beilrode,3021,SN,82,DE,51.56667,13.06667
23995,Beilstein,3006,BW,82,DE,49.0414,9.3137
23996,Beimerstetten,3006,BW,82,DE,48.48333,9.98333
23997,Beindersheim,3019,RP,82,DE,49.56056,8.31944
23998,Belgern,3021,SN,82,DE,51.48263,13.12382
